ID,SHOP,GENDER,AGE,M.S.,NCHILD,INCOME,S.E.G.,MAINSHOP,BUYFOOD,AMOUNT,PAYBY,REGULAR,VISITS
321,5,0,20,2,3,6996,5,1,1,52.34000015,1,1,1
322,1,0,47,4,4,27228,2,1,1,62.70000076,2,1,2
323,2,0,27,2,4,12096,4,1,1,66.69999695,3,1,2
324,2,0,20,1,1,8112,5,1,0,33.99000168,1,1,2
325,4,0,39,2,5,12672,4,0,1,19.43000031,1,1,2
326,1,1,20,2,0,23928,3,0,1,26.90999985,2,1,1
327,4,0,33,2,3,10344,4,1,1,79.33999634,1,1,3
328,5,1,24,1,0,18276,3,1,1,28.25,2,1,2
329,5,1,61,4,5,,4,0,1,49.04000092,1,0,0
330,5,0,28,3,4,15744,5,1,1,34.04000092,1,1,1
331,5,1,24,2,2,8376,5,1,1,57.15999985,3,1,4
332,2,0,24,3,2,10932,5,1,1,44.31999969,1,1,1
333,5,0,35,2,2,15096,4,1,1,36.93000031,1,1,3
334,5,0,23,2,0,26952,2,1,0,55.06000137,2,1,2
335,2,0,25,1,0,21336,3,1,1,35.02000046,1,1,2
336,4,0,39,1,7,11952,5,1,1,53.59999847,1,1,1
337,3,0,22,2,3,11232,5,1,1,77.90000153,3,1,2
338,1,0,31,2,1,10992,4,0,1,17.59000015,1,1,2
339,2,1,,3,2,11664,4,1,1,60.5,1,1,2
340,1,0,35,2,4,33456,3,1,1,53.99000168,2,1,2
341,2,0,27,2,3,12648,4,1,1,40.34999847,1,0,0
342,4,0,19,2,2,10560,5,1,1,64.45999908,1,1,2
343,3,0,67,2,2,10512,3,1,1,47.25,1,1,1
344,2,0,31,2,1,,4,1,1,67.56999969,1,1,1
345,3,1,21,2,2,8052,5,0,1,32.66999817,1,1,2
346,5,0,24,2,3,9684,5,1,1,74.62999725,3,1,1
347,2,1,19,2,2,14712,4,1,1,53.33000183,1,1,1
348,3,0,28,2,2,15492,4,0,1,19.14999962,1,0,0
349,4,1,35,2,0,18984,3,1,1,38.49000168,1,1,1
350,3,0,34,2,2,13764,4,0,1,28.73999977,1,0,0
351,2,0,31,3,2,13416,4,1,1,44.18000031,1,1,3
352,1,0,25,1,2,12876,4,0,1,28.70999908,1,1,2
353,5,1,18,1,0,11052,4,1,1,41.43000031,1,1,4
354,1,0,19,2,1,14448,4,1,1,49.20999908,1,1,2
355,5,1,50,4,1,14256,4,1,1,36.18000031,1,1,2
356,5,0,18,2,0,18516,3,1,1,48.68999863,2,1,3
357,4,1,27,2,4,21696,3,1,1,40.79999924,2,1,3
358,2,0,54,2,1,14832,5,1,1,31.76000023,1,0,0
359,5,1,,3,0,,4,1,1,33.50999832,1,1,2
360,4,0,23,2,1,19476,3,1,1,50.02000046,2,1,2
361,4,0,43,2,3,16452,3,1,1,66.86000061,2,1,1
362,5,0,18,2,0,21708,3,1,1,33.13999939,2,1,3
363,3,0,19,1,0,8448,5,1,1,21.89999962,1,1,4
364,4,0,21,2,1,14292,4,0,1,50.75999832,1,1,4
365,4,0,33,1,0,13644,4,1,1,38.95999908,1,1,2
366,3,0,21,1,1,7296,5,0,1,36.50999832,1,1,2
367,5,1,49,3,3,18504,3,1,1,58.41999817,1,1,1
368,5,0,67,4,5,16116,2,1,1,62.18000031,2,1,1
